Date,Open,High,Low,Close,Volume,MA20,MA50,RSI,MACD,MACD_Signal,MACD_Histogram,ATR,Price_Change_1d,Price_Change_5d,Price_Change_10d,Volume_Change,Volume_MA20,Volume_Ratio
2021-06-29,35867.77734375,36542.109375,34252.484375,34475.55859375,37901460044,35780.59423828125,38620.5054296875,33.78307036555073,-1599.1674309386726,-1696.6572404400074,97.48980950133478,3427.9620535714284,-0.5869886363316312,2.353598258198586,-3.846010119668686,11.828379383413235,40407723220.5,0.9379756398838998
2021-06-30,35040.8359375,36074.7578125,34086.15234375,35908.38671875,34059036099,35706.53779296875,38221.7283203125,39.089759957072815,-1358.8967735977494,-1629.1051470715558,270.20837347380643,3402.8094308035716,4.156069353027836,3.6044820923794463,0.9707975383571821,-10.137931205128536,39931873382.75,0.8529285809493982
2021-07-01,33572.1171875,35035.984375,32883.78125,35035.984375,37838957079,35623.48544921875,37788.1573828125,41.099807837333834,-1224.757878332377,-1548.2356933237202,323.47781499134317,3423.9229910714284,-2.4295225251499963,10.892093379098577,-1.697925709763326,11.098144319213365,39888834387.45,0.9486102479571341
2021-07-02,33897.046875,33939.58984375,32770.6796875,33549.6015625,38728974942,35433.95830078125,37464.4407421875,38.51848281303322,-1224.2777958215374,-1483.4441138232837,259.1663180017463,3365.3328683035716,-4.2424462706422865,3.908872501302385,6.094496350580458,2.3521204909052518,39929071707.05,0.9699442858613186
2021-07-03,34668.546875,34909.26171875,33402.6953125,33854.421875,24383958643,35348.88994140625,37147.8695703125,44.404917905241795,-1185.6336288022503,-1423.8820168190773,238.248388016827,3246.7723214285716,0.9085661179377924,-2.3780856975023856,4.117107797515707,-37.03949386856458,39114813997.3,0.6233944674946725
2021-07-04,35287.78125,35937.56640625,34396.4765625,34665.56640625,24924307911,35131.31982421875,36844.0709765625,47.56008287556814,-1077.138679171163,-1354.5333492894945,277.39467011833153,3207.8962053571427,2.3959780918574536,0.551137734239493,2.917707560551408,2.216003053118376,38203583659.2,0.6524075891241122
2021-07-05,33746.00390625,35284.34375,33213.66015625,35284.34375,26721554282,34874.17861328125,36615.4251171875,49.057793143400374,-930.4992732160827,-1269.7265340748122,339.22726085872955,3039.6803850446427,1.7849912979885474,-1.737875259163757,1.8039654307112407,7.210817557773841,37218653914.05,0.7179613304583442
2021-07-06,34235.1953125,35038.53515625,33599.91796875,33723.5078125,26501259870,34551.91943359375,36361.5773046875,56.376190491431444,-929.5179983428243,-1201.6848269284146,272.16682858559034,2678.0305524553573,-4.423593502429812,-3.746081595573836,6.737985078077613,-0.8244071795943109,36583135152.55,0.7244119389847523
2021-07-07,33855.328125,34997.6640625,33839.2890625,34225.6796875,24796027477,34346.13232421875,36176.3297265625,55.31533106756861,-878.0971006689942,-1136.9672816765305,258.8701810075363,2545.396484375,1.4890855298684613,2.01515992295922,6.002802456347434,-6.434533306585777,35968103024.05,0.68938935868873
2021-07-08,32877.37109375,33907.90625,32133.18359375,33889.60546875,29910396946,34135.63876953125,35995.2223046875,50.67786132715471,-854.6126073983905,-1080.4963468209025,225.883739422512,2491.743582589286,-0.9819358499774111,0.10392613963372543,-2.2766310105312604,20.625761419823906,35653578507.6,0.8389171072862779
